zipcode,city,county,ziptype
76265,Jo,Montague,Standard
76266,Sanger,Denton,Standard
76267,Slidell,Wise,Box
76268,Southmayd,Grayson,Box
76270,Sunset,Montague,Standard
76271,Tioga,Grayson,Standard
76272,View,Cooke,Standard
76273,Whitesboro,Grayson,Standard
76301,Falls,Wichita,Standard
76302,Falls,Wichita,Standard
76305,Falls,Wichita,Standard
76306,Falls,Wichita,Standard
76307,Falls,Wichita,Box
76308,Falls,Wichita,Standard
76309,Falls,Wichita,Standard
76310,Falls,Wichita,Standard
76311,AFB,Wichita,Standard
76351,City,Archer,Box
76352,Bluegrove,Clay,Box
76354,Burkburnett,Wichita,Standard
76357,Byers,Clay,Standard
76360,Electra,Wichita,Standard
76363,Goree,Knox,Standard
76364,Harrold,Wilbarger,Standard
76365,Henrietta,Clay,Standard
76366,Holliday,Archer,Standard
76367,Park,Wichita,Standard
76369,Kamay,Wichita,Box
76370,Megargel,Archer,Box
76371,Munday,Knox,Standard
76372,Newcastle,Young,Standard
76373,Oklaunion,Wilbarger,Standard
76374,Olney,Young,Standard
76377,Petrolia,Clay,Standard
76379,Scotland,Archer,Standard
76380,Seymour,Baylor,Standard
76384,Vernon,Wilbarger,Standard
76385,Vernon,Wilbarger,Box
76388,Weinert,Haskell,Standard
76389,Windthorst,Archer,Standard
76401,Stephenville,Erath,Standard
76402,Stephenville,Erath,Unique
76424,Breckenridge,Stephens,Standard
76426,Bridgeport,Wise,Standard
76427,Bryson,Jack,Standard
76429,Caddo,Stephens,Standard
76430,Albany,Shackelford,Standard
76431,Chico,Wise,Standard
76432,Blanket,Brown,Standard
76433,Dale,Erath,Standard
76435,Carbon,Eastland,Standard
76436,Carlton,Hamilton,Standard
76437,Cisco,Eastland,Standard
76439,Dennis,Parker,Box
76442,Comanche,Comanche,Standard
76443,Plains,Callahan,Standard
76444,Leon,Comanche,Standard
76445,Desdemona,Eastland,Standard
76446,Dublin,Erath,Standard
76448,Eastland,Eastland,Standard
76449,Graford,Pinto,Standard
76450,Graham,Young,Standard
76452,Energy,Comanche,Box
76453,Gordon,Pinto,Standard
76454,Gorman,Eastland,Standard
76455,Gustine,Comanche,Standard
76457,Hico,Hamilton,Standard
76458,Jacksboro,Jack,Standard
76459,Jermyn,Jack,Standard
76460,Loving,Young,Standard
76461,Lingleville,Erath,Box
76462,Lipan,Hood,Standard
76463,Mingus,Pinto,Standard
76464,Moran,Shackelford,Standard
76465,Mill,Erath,Box
76466,Olden,Eastland,Box
76467,Paluxy,Hood,Box
76468,Proctor,Comanche,Box
76469,Putnam,Callahan,Box
76470,Ranger,Eastland,Standard
76471,Star,Eastland,Standard
76472,Santo,Pinto,Standard
76474,Sidney,Comanche,Standard
76475,Strawn,Pinto,Standard
76476,Tolar,Hood,Standard
76481,Bend,Young,Standard
76483,Throckmorton,Throckmorton,Standard
76484,Pinto,Pinto,Standard
76485,Peaster,Parker,Box
76486,Perrin,Jack,Standard
76487,Poolville,Parker,Standard
76490,Whitt,Parker,Standard
76491,Woodson,Throckmorton,Standard
76501,Temple,Bell,Standard
76502,Temple,Bell,Standard
76503,Temple,Bell,Box
76504,Temple,Bell,Standard
76508,Temple,Bell,Unique
76511,Bartlett,Bell,Standard
76513,Belton,Bell,Standard
76518,Buckholts,Milam,Standard
76519,Burlington,Milam,Standard
76520,Cameron,Milam,Standard
76522,Cove,Coryell,Standard
76523,Davilla,Milam,Box
76524,Eddy,Mclennan,Standard
76525,Evant,Coryell,Standard
76526,Flat,Coryell,Box
76527,Florence,Williamson,Standard
76528,Gatesville,Coryell,Standard
76530,Granger,Williamson,Standard
76531,Hamilton,Hamilton,Standard
76533,Heidenheimer,Bell,Box
76534,Holland,Bell,Standard
76537,Jarrell,Williamson,Standard
76538,Jonesboro,Coryell,Standard
76539,Kempner,Lampasas,Standard
